R, Energy 1.6, Energy 2.6
1.270,	-149.771078764276,	-149.563040038194
1.275,	-149.772565179551,	-149.567638195562
1.280,	-149.773964742717,	-149.572440432601
1.285,	-149.775287435793,	-149.577372887238
1.290,	-149.776539852471,	-149.582385315767
1.295,	-149.777726822389,	-149.587441744517
1.300,	-149.778852114909,	-149.592515547121
1.310,	-149.780929746831,	-149.602639164855
1.320,	-149.782793266340,	-149.612643532695
1.325,	-149.783650041781,	-149.617578175723
1.330,	-149.784459350764,	-149.622459334911
1.340,	-149.785942453407,	-149.632043293149
1.350,	-149.787255487413,	-149.641368523315
1.360,	-149.788410239543,	-149.650418998280
1.370,	-149.789417603768,	-149.659186109872
1.375,	-149.789869210363,	-149.663462168343
1.380,	-149.790287720033,	-149.667666399181
1.390,	-149.791030077420,	-149.675860025617
1.400,	-149.791653581915,	-149.683769727475
1.410,	-149.792166617916,	-149.691400057022
1.420,	-149.792577093476,	-149.698756916398
1.425,	-149.792746221169,	-149.702334863382
1.430,	-149.792892462816,	-149.705847010574
1.440,	-149.793119836505,	-149.712677727926
1.450,	-149.793265909383,	-149.719256785351
1.460,	-149.793337075547,	-149.725592094911
1.470,	-149.793339453199,	-149.731691609578
1.475,	-149.793316695823,	-149.734655407377
1.480,	-149.793278940807,	-149.737563186896
1.490,	-149.793161297633,	-149.743214451714
1.500,	-149.792992252458,	-149.748652651477
1.510,	-149.792777696344,	-149.753884430728
1.520,	-149.792524008715,	-149.758915488958
1.525,	-149.792384760919,	-149.761357124462
1.530,	-149.792238687086,	-149.763749939758
1.540,	-149.791931682092,	-149.768388969508
1.550,	-149.791618539715,	-149.772827698995
1.560,	-149.791328989847,	-149.777046586817
1.570,	-149.791134839669,	-149.780983575681
1.575,	-149.791129544367,	-149.782793284678
1.580,	-149.791256323612,	-149.784427721311
1.590,	-149.792338193891,	-149.786743061168
1.600,	-149.794828723301,	-149.787489779594
1.610,	-149.797976320761,	-149.787427464500
1.620,	-149.801256374027,	-149.787088322707
1.625,	-149.802891627132,	-149.786871648676
1.630,	-149.804512532658,	-149.786635902395
1.640,	-149.807696498544,	-149.786125350600
1.650,	-149.810791524080,	-149.785579907819
1.660,	-149.813791965989,	-149.785011367483
1.675,	-149.818113491298,	-149.784129722454
1.690,	-149.822224076617,	-149.783225690901
1.700,	-149.824851037281,	-149.782615240837
1.710,	-149.827390318571,	-149.782001033803
1.720,	-149.829844651349,	-149.781384779111
1.725,	-149.831040820680,	-149.781076352840
1.740,	-149.834509385518,	-149.780151838598
1.750,	-149.836725117082,	-149.779537582798
1.800,	-149.846736921141,	-149.776526496487
1.810,	-149.848541975063,	-149.775941574041
1.820,	-149.850286212306,	-149.775363836771
1.825,	-149.851136142918,	-149.775077815268
1.830,	-149.851971602231,	-149.774793769163
1.840,	-149.853600034737,	-149.774231803859
1.850,	-149.855173333344,	-149.773678322874
1.860,	-149.856693253980,	-149.773133663316
1.870,	-149.858161465336,	-149.772598118070
1.875,	-149.858876712564,	-149.772333840734
1.880,	-149.859579649402,	-149.772071936700
1.890,	-149.860949355986,	-149.771555332944
1.900,	-149.862272113125,	-149.771048486312
1.910,	-149.863549390250,	-149.770551539364
1.920,	-149.864782614672,	-149.770064607438
1.925,	-149.865383139578,	-149.769824923777
1.930,	-149.865973163950,	-149.769587772798
1.940,	-149.867122373447,	-149.769121094208
1.950,	-149.868231538630,	-149.768664603739
1.960,	-149.869301913467,	-149.768218310585
1.970,	-149.870334713585,	-149.767782201564
1.975,	-149.870837393481,	-149.767567956402
1.980,	-149.871331120927,	-149.767356245765
1.990,	-149.872292278952,	-149.766940392887
2.000,	-149.873219302958,	-149.766534577740
2.100,	-149.880834921767,	-149.763004533328
2.200,	-149.886048697540,	-149.760327826781
2.250,	-149.887978689952,	-149.759254401012
2.300,	-149.889552088920,	-149.758328132726
2.400,	-149.891853152424,	-149.756838228666
2.500,	-149.893319863444,	-149.755721933320
2.600,	-149.894215686279,	-149.754876965441
2.700,	-149.894727200020,	-149.754229660177
2.750,	-149.894881422266,	-149.753963127741
2.800,	-149.894985119004,	-149.753727712274
2.900,	-149.895079754579,	-149.753333990950
3.000,	-149.895072635209,	-149.753021776329
3.250,	-149.894846578228,	-149.752481824987
3.500,	-149.894546316538,	-149.752151041021
3.750,	-149.894278426354,	-149.751935078653
4.000,	-149.894064124538,	-149.751785048803
4.250,	-149.893898042079,	-149.751674340053
4.500,	-149.893769302839,	-149.751588105251
4.750,	-149.893668061341,	-149.751517859047
5.000,	-149.893586607757,	-149.751458554132
