nu,I,tau,Gamma',E',J',Ka',Kc',GammaRot',v1',v2',v3',v4',v5',v6',GammaVib',,"Gamma ""","E""","J""","GammaVib""","Ka""","Kc""","GammaRot""",
6500.057196,1.79E-24,6.92E-03,B1,6864.690464,11,4,8,A1,0,0,2,0,0,1,B1,<-,B2,364.633268,11,A1,5,6,B2,
6500.064859,1.19E-24,1.19E-02,A1,6852.105916,12,3,9,B1,0,0,2,0,0,1,B1,<-,A2,352.041057,13,A1,4,9,A2,
6500.109571,1.16E-24,3.57E-03,B1,6866.078004,14,3,11,B1,0,0,1,1,0,2,A1,<-,B2,365.968433,15,A1,3,12,B2,
6500.15949,1.41E-24,5.46E-03,B2,6864.792748,11,4,7,A2,0,0,2,0,0,1,B1,<-,B1,364.633258,11,A1,5,7,B1,
6500.276064,1.34E-24,4.97E-03,B1,6838.192249,10,0,10,A1,0,1,1,0,0,1,B1,<-,B2,337.916185,10,A1,5,6,B2,
6500.370811,2.02E-24,7.51E-03,B2,6838.286999,10,4,7,A2,0,0,2,0,0,1,B1,<-,B1,337.916188,10,A1,5,5,B1,
6500.65431,2.09E-24,7.63E-03,B2,6814.283729,9,4,5,A2,0,0,2,0,0,1,B1,<-,B1,313.629419,9,A1,5,5,B1,
6500.656938,2.71E-24,4.92E-03,B2,6771.128856,15,2,14,A1,3,0,0,1,0,0,B2,<-,B1,270.471918,14,A1,1,13,B1,
6500.678589,2.24E-24,8.19E-03,B1,6814.308009,9,4,6,A1,0,0,2,0,0,1,B1,<-,B2,313.62942,9,A1,5,4,B2,
6500.761813,2.54E-24,4.61E-03,B2,6771.233731,15,2,14,A1,3,0,0,1,0,0,B2,<-,B1,270.471918,14,A1,1,13,B1,
6500.973647,2.40E-24,8.81E-03,B1,6792.746187,8,4,4,A1,0,0,2,0,0,1,B1,<-,B2,291.77254,8,A1,5,4,B2,
6500.981414,2.45E-24,8.97E-03,B2,6792.753955,8,4,5,A2,0,0,2,0,0,1,B1,<-,B1,291.772541,8,A1,5,3,B1,
6501.279009,2.59E-24,9.80E-03,B2,6773.624176,7,4,3,A2,0,0,2,0,0,1,B1,<-,B1,272.345167,7,A1,5,3,B1,
6501.281662,2.61E-24,9.86E-03,B1,6773.626829,7,4,4,A1,0,0,2,0,0,1,B1,<-,B2,272.345167,7,A1,5,2,B2,
6501.3381,4.71E-24,9.62E-03,B1,6809.032912,16,2,15,A2,3,0,0,1,0,0,B2,<-,B2,307.694812,15,A1,1,14,B2,
6501.475552,5.06E-24,6.30E-03,B1,6594.107545,9,2,7,A2,3,0,0,1,0,0,B2,<-,B2,92.631993,8,A1,1,8,B2,
6501.584242,2.66E-24,1.07E-02,B1,6756.931201,6,4,2,A1,0,0,2,0,0,1,B1,<-,B2,255.346959,6,A1,5,2,B2,
6501.585126,2.67E-24,1.07E-02,B2,6756.932085,6,4,3,A2,0,0,2,0,0,1,B1,<-,B1,255.346959,6,A1,5,1,B1,
6501.908115,2.47E-24,1.09E-02,B2,6742.685736,5,4,1,A2,0,0,2,0,0,1,B1,<-,B1,240.777621,5,A1,5,1,B1,
6501.908402,2.47E-24,1.09E-02,B1,6742.686023,5,4,2,A1,0,0,2,0,0,1,B1,<-,B2,240.777621,5,A1,5,0,B2,
6502.437976,1.19E-24,1.11E-02,A1,6822.864693,11,3,9,B1,0,0,2,0,0,1,B1,<-,A2,320.426717,12,A1,4,9,A2,
6502.498581,1.20E-24,1.13E-02,A2,6822.927433,11,3,8,B2,0,0,2,0,0,1,B1,<-,A1,320.428852,12,A1,4,8,A1,
6502.741162,1.34E-24,3.71E-03,B2,6832.06605,13,3,10,B2,0,0,1,1,0,2,A1,<-,B1,329.324888,14,A1,3,11,B1,
6503.016931,1.26E-24,5.56E-03,B1,6743.794552,5,5,0,B2,0,2,0,0,0,1,A2,<-,B2,240.777621,5,A1,5,0,B2,
6503.017013,1.26E-24,5.56E-03,B2,6743.794634,5,5,1,B1,0,2,0,0,0,1,A2,<-,B1,240.777621,5,A1,5,1,B1,
6503.222412,1.07E-24,2.96E-03,B1,6832.282389,13,3,11,B1,0,0,1,1,0,2,A1,<-,B2,329.059977,14,A1,3,12,B2,
6503.56155,2.53E-24,1.99E-02,A2,6543.604741,3,3,1,B1,3,0,0,1,0,0,B2,<-,A1,40.043191,2,A1,2,0,A1,
6503.563957,2.53E-24,1.99E-02,A1,6543.604765,3,3,0,B2,3,0,0,1,0,0,B2,<-,A2,40.040808,2,A1,2,1,A2,
6504.572762,4.48E-24,5.60E-03,B2,6618.275507,10,2,8,A1,3,0,0,1,0,0,B2,<-,B1,113.702745,9,A1,1,9,B1,
6504.899647,1.25E-24,1.11E-02,A2,6796.152397,10,3,8,B2,0,0,2,0,0,1,B1,<-,A1,291.25275,11,A1,4,8,A1,
6504.93703,1.25E-24,1.11E-02,A1,6796.190849,10,3,7,B1,0,0,2,0,0,1,B1,<-,A2,291.253819,11,A1,4,7,A2,
6505.337142,1.50E-24,3.80E-03,B1,6800.492652,12,3,9,B1,0,0,1,1,0,2,A1,<-,B2,295.15551,13,A1,3,10,B2,
6505.576012,1.25E-24,3.17E-03,B2,6800.5591,12,3,10,B2,0,0,1,1,0,2,A1,<-,B1,294.983088,13,A1,3,11,B1,
6505.79773,2.55E-24,1.62E-02,A1,6553.138426,4,3,2,B2,3,0,0,1,0,0,B2,<-,A2,47.340696,3,A1,2,1,A2,
6505.809808,2.55E-24,1.61E-02,A2,6553.138593,4,3,1,B1,3,0,0,1,0,0,B2,<-,A1,47.328785,3,A1,2,2,A1,
