vibrational_f	angmom_total_f	vibrational_i	angmom_total_i	transition_wavenumber	unc	lambda	unc	einstein_coefficient	unc	Atot	energy_f	unc	Tu	degeneracy
0	2	0	0	354.37313	4E-06	28.218843793	3E-07	2.94E-11	2.94E-11	2.94E-11	-35763.696396	0.0002	509.9	5
0	3	0	1	587.032025	6E-06	17.034845756	2E-07	4.76E-10	4.76E-10	4.76E-10	-35412.550688	0.0002	1015.1	21
0	4	0	2	814.424302	8E-06	12.278611991	1E-07	2.76E-09	2.76E-09	2.76E-09	-34949.272093	0.0002	1681.6	9
0	5	0	3	1034.670685	1E-05	9.664910918	1E-07	9.84E-09	9.84E-09	9.84E-09	-34377.880003	0.0002	2503.7	33
0	6	0	4	1246.099547	1E-05	8.025041036	8E-08	2.64E-08	2.64E-08	2.64E-08	-33703.172546	0.0002	3474.5	13
0	7	0	5	1447.280936	1E-05	6.909508549	7E-08	5.88E-08	5.88E-08	5.88E-08	-32930.599067	0.0002	4586.1	45
0	8	0	6	1637.046	2E-05	6.10856384	6E-08	1.14E-07	1.14E-07	1.14E-07	-32066.126547	0.0002	5829.8	17
0	9	0	7	1814.492375	2E-05	5.511183259	5E-08	2E-07	2E-07	2E-07	-31116.106692	0.0002	7196.7	57
0	10	0	8	1978.977263	2E-05	5.053115155	5E-08	3.24E-07	3.24E-07	3.24E-07	-30087.149284	0.0002	8677.1	21
0	11	0	9	2130.100614	2E-05	4.694613923	4E-08	4.9E-07	4.9E-07	4.9E-07	-28986.006078	0.0002	10261.4	69
0	12	0	10	2267.681181	2E-05	4.409790972	4E-08	7.03E-07	7.03E-07	7.03E-07	-27819.468103	0.0002	11939.8	25
0	13	0	11	2391.728142	2E-05	4.181077199	4E-08	9.63E-07	9.63E-07	9.63E-07	-26594.277936	0.0002	13702.6	81
0	14	0	12	2502.410681	2E-05	3.996146626	3E-08	1.27E-06	1.27E-06	1.27E-06	-25317.057422	0.0001	15540.2	29
0	15	0	13	2600.027482	2E-05	3.846113193	3E-08	1.62E-06	1.62E-06	1.62E-06	-23994.250455	0.0001	17443.5	93
0	16	0	14	2684.977572	2E-05	3.724425896	3E-08	2E-06	2E-06	2E-06	-22632.07985	0.0001	19403.3	33
0	17	0	15	2757.73348	2E-05	3.626166224	3E-08	2.41E-06	2.41E-06	2.41E-06	-21236.516974	0.0001	21411.2	105
0	18	0	16	2818.817246	2E-05	3.547587207	3E-08	2.83E-06	2.83E-06	2.83E-06	-19813.262604	9E-05	23459	37
0	19	0	17	2868.779482	2E-05	3.485802957	3E-08	3.26E-06	3.26E-06	3.26E-06	-18367.737493	8E-05	25538.8	117
0	20	0	18	2908.181426	2E-05	3.438575018	3E-08	3.68E-06	3.68E-06	3.68E-06	-16905.081178	7E-05	27643.2	41
0	21	0	19	2937.579741	2E-05	3.40416291	2E-08	4.08E-06	4.08E-06	4.08E-06	-15430.157752	6E-05	29765.3	129
0	22	0	20	2957.513679	2E-05	3.381218512	2E-08	4.45E-06	4.45E-06	4.45E-06	-13947.567499	5E-05	31898.4	45
0	23	0	21	2968.494159	2E-05	3.368711362	2E-08	4.78E-06	4.78E-06	4.78E-06	-12461.663593	4E-05	34036.3	141
0	24	0	22	2970.994204	2E-05	3.365876644	2E-08	5.06E-06	5.06E-06	5.06E-06	-10976.573295	3E-05	36173	49
0	24	1	22	30.205422	7E-06	331.066389339	7E-05	6.33E-17	6.33E-17	5.06E-06	-10976.573295	3E-05	36173	49
0	25	0	23	2965.440121	2E-05	3.372180719	2E-08	5.27E-06	5.27E-06	5.27E-06	-9496.223471	2E-05	38302.9	153
0	25	1	23	118.343261	7E-06	84.499953065	5E-06	6.22E-14	6.22E-14	5.27E-06	-9496.223471	2E-05	38302.9	153
0	26	0	24	2952.202695	2E-05	3.387301291	2E-08	5.42E-06	5.42E-06	5.42E-06	-8024.3706	1E-05	40420.6	53
0	26	1	24	201.398456	7E-06	49.652813624	2E-06	9.4E-13	9.4E-13	5.42E-06	-8024.3706	1E-05	40420.6	53
0	27	0	25	2931.587453	2E-05	3.411121162	2E-08	5.5E-06	5.5E-06	5.5E-06	-6564.636018	3E-06	42520.8	165
0	27	1	25	279.847254	7E-06	35.733779257	9E-07	5.15E-12	5.15E-12	5.5E-06	-6564.636018	3E-06	42520.8	165
0	28	0	26	2903.822736	2E-05	3.443736381	2E-08	5.51E-06	5.51E-06	5.51E-06	-5120.547864	8E-06	44598.5	57
0	28	1	26	354.175248	7E-06	28.234610003	6E-07	1.76E-11	1.76E-11	5.51E-06	-5120.547864	8E-06	44598.5	57
0	29	0	27	2869.043657	2E-05	3.485481992	2E-08	5.43E-06	5.43E-06	5.43E-06	-3695.592361	2E-05	46648.7	177
